section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Proliferating,1.97,2.081,1.056,188
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,B-cells,1.063,0.177,0.167,16
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,Central venous LSECs,1.015,0.066,0.065,6
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Hepatocytes,31.03,52.823,1.702,1319
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Hepatic stellate cells,16.911,2.683,0.159,67
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Biliary/ductular,16.119,2.563,0.159,64
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,LSECs,12.065,4.125,0.342,103
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Inflammatory macs,8.074,2.443,0.303,61
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,DC,3.209,1.161,0.362,29
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,T/NK cells,3.129,0.601,0.192,15
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,vSMCs,2.913,0.32,0.11,8
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Kupffer cells,2.501,1.001,0.4,25
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Proliferating,1.97,31.798,16.137,794
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,B-cells,1.063,0.2,0.188,5
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,Central venous LSECs,1.015,0.28,0.276,7
7352_liver_sham_Male_2-U1,sham,tierA_score,Hepatocytes,60.851,45.203,0.743,2766
7352_liver_sham_Male_2-U1,sham,tierA_score,LSECs,13.108,14.806,1.13,906
7352_liver_sham_Male_2-U1,sham,tierA_score,Kupffer cells,7.361,6.749,0.917,413
7352_liver_sham_Male_2-U1,sham,tierA_score,Hepatic stellate cells,6.95,5.802,0.835,355
7352_liver_sham_Male_2-U1,sham,tierA_score,vSMCs,3.378,5.099,1.509,312
7352_liver_sham_Male_2-U1,sham,tierA_score,Biliary/ductular,3.362,6.063,1.804,371
7352_liver_sham_Male_2-U1,sham,tierA_score,T/NK cells,2.509,9.887,3.94,605
7352_liver_sham_Male_2-U1,sham,tierA_score,DC,1.503,2.827,1.881,173
7352_liver_sham_Male_2-U1,sham,tierA_score,B-cells,0.572,1.928,3.371,118
7352_liver_sham_Male_2-U1,sham,tierA_score,Proliferating,0.407,1.634,4.016,100
7352_liver_sham_Male_2-U1,sham,senepy_score,Hepatocytes,60.851,30.01,0.493,1550
7352_liver_sham_Male_2-U1,sham,senepy_score,LSECs,13.108,7.744,0.591,400
7352_liver_sham_Male_2-U1,sham,senepy_score,Kupffer cells,7.361,62.033,8.428,3204
7352_liver_sham_Male_2-U1,sham,senepy_score,Hepatic stellate cells,6.95,0.0,0.0,0
7352_liver_sham_Male_2-U1,sham,senepy_score,vSMCs,3.378,0.0,0.0,0
7352_liver_sham_Male_2-U1,sham,senepy_score,Biliary/ductular,3.362,0.0,0.0,0
7352_liver_sham_Male_2-U1,sham,senepy_score,T/NK cells,2.509,0.0,0.0,0
7352_liver_sham_Male_2-U1,sham,senepy_score,DC,1.503,0.0,0.0,0
7352_liver_sham_Male_2-U1,sham,senepy_score,B-cells,0.572,0.213,0.372,11
